C0 	 N 	 idle
23 	 1 	 87.47
40 	 2 	 58.82
55 	 3 	 40.85
68 	 4 	 65.44
80 	 5 	 60.69
91 	 6 	 55.73
98 	 7 	 53.82
106 	 8 	 45.86
123 	 9 	 42.05
121 	 10 	 37.95
122 	 11 	 35.34
139 	 12 	 29.72
139 	 13 	 28.37
145 	 14 	 27.82
141 	 15 	 26.05
151 	 16 	 19.92
166 	 17 	 13.51
133 	 18 	 9.05
139 	 19 	 11.87
148 	 20 	 18.88
155 	 21 	 4.61
160 	 22 	 15.12
180 	 23 	 11.09
173 	 24 	 15.26
190 	 25 	 7.65
191 	 26 	 11.02
172 	 27 	 9.62
186 	 28 	 10.04
184 	 29 	 0.6
202 	 30 	 1
198 	 31 	 1.01
213 	 32 	 0
212 	 33 	 0
182 	 34 	 0
194 	 35 	 2
200 	 36 	 0
201 	 37 	 0
206 	 38 	 0
206 	 39 	 0
216 	 40 	 0
213 	 41 	 0
218 	 42 	 0
204 	 43 	 0
193 	 44 	 0
194 	 45 	 0
198 	 46 	 0
199 	 47 	 0
203 	 48 	 0
203 	 49 	 0
201 	 50 	 0
